"id","registration","timestamp","lat","lon","altitude"
276,"EC-IKS","2023-05-18 09:55:26.173",NULL,NULL,NULL
277,"EC-ISB","2023-05-18 09:55:26.556",NULL,NULL,NULL
278,"EC-LDF","2023-05-18 09:55:26.907",NULL,NULL,NULL
279,"EC-KXU","2023-05-18 09:55:27.238",NULL,NULL,NULL
280,"EC-ISZ","2023-05-18 09:55:27.594",NULL,NULL,NULL
281,"EC-LAR","2023-05-18 09:55:27.998",NULL,NULL,NULL
282,"EC-JMK","2023-05-18 09:55:28.383",NULL,NULL,NULL
283,"EC-LGC","2023-05-18 09:55:28.776",NULL,NULL,NULL
284,"EC-LGD","2023-05-18 09:55:29.199",NULL,NULL,NULL
285,"EC-MHV","2023-05-18 09:55:29.551",NULL,NULL,NULL
306,"EC-LBD","2023-05-18 10:03:27.05",NULL,NULL,NULL
307,"EC-MMF","2023-05-18 10:03:27.436",NULL,NULL,NULL
308,"EC-MDO","2023-05-18 10:03:27.855",NULL,NULL,NULL
309,"EC-IKS","2023-05-18 10:03:28.214",NULL,NULL,NULL
310,"EC-ISB","2023-05-18 10:03:28.589",NULL,NULL,NULL
311,"EC-LDF","2023-05-18 10:03:28.949",NULL,NULL,NULL
312,"EC-KXU","2023-05-18 10:03:29.439",NULL,NULL,NULL
313,"EC-ISZ","2023-05-18 10:03:29.86",NULL,NULL,NULL
314,"EC-LAR","2023-05-18 10:03:30.43",NULL,NULL,NULL
315,"EC-JMK","2023-05-18 10:03:30.903",NULL,NULL,NULL
316,"EC-LGC","2023-05-18 10:03:31.306",NULL,NULL,NULL
317,"EC-LGD","2023-05-18 10:03:31.883",NULL,NULL,NULL
318,"EC-MHV","2023-05-18 10:03:32.363",NULL,NULL,NULL
319,"EC-LBD","2023-05-18 10:05:24.745",NULL,NULL,NULL
320,"EC-MMF","2023-05-18 10:05:25.154",NULL,NULL,NULL
321,"EC-MDO","2023-05-18 10:05:25.578",NULL,NULL,NULL
322,"EC-IKS","2023-05-18 10:05:25.977",NULL,NULL,NULL
323,"EC-ISB","2023-05-18 10:05:26.311",NULL,NULL,NULL
324,"EC-LDF","2023-05-18 10:05:26.755",NULL,NULL,NULL
325,"EC-KXU","2023-05-18 10:05:27.147",NULL,NULL,NULL
326,"EC-ISZ","2023-05-18 10:05:27.522",NULL,NULL,NULL
327,"EC-LAR","2023-05-18 10:05:27.921",NULL,NULL,NULL
328,"EC-JMK","2023-05-18 10:05:28.269",NULL,NULL,NULL
329,"EC-LGC","2023-05-18 10:05:28.638",NULL,NULL,NULL
330,"EC-LGD","2023-05-18 10:05:28.998",NULL,NULL,NULL
331,"EC-MHV","2023-05-18 10:05:29.481",NULL,NULL,NULL
332,"EC-LBD","2023-05-18 10:10:24.732",NULL,NULL,NULL
333,"EC-MMF","2023-05-18 10:10:25.139",NULL,NULL,NULL
334,"EC-MDO","2023-05-18 10:10:25.645",NULL,NULL,NULL
335,"EC-IKS","2023-05-18 10:10:26.052",NULL,NULL,NULL
336,"EC-ISB","2023-05-18 10:10:26.406",NULL,NULL,NULL
337,"EC-LDF","2023-05-18 10:10:26.885",NULL,NULL,NULL
338,"EC-KXU","2023-05-18 10:10:27.335",NULL,NULL,NULL
339,"EC-ISZ","2023-05-18 10:10:27.81",NULL,NULL,NULL
340,"EC-LAR","2023-05-18 10:10:28.193",NULL,NULL,NULL
341,"EC-JMK","2023-05-18 10:10:28.674",NULL,NULL,NULL
342,"EC-LGC","2023-05-18 10:10:29.2",NULL,NULL,NULL
343,"EC-LGD","2023-05-18 10:10:29.813",NULL,NULL,NULL
344,"EC-MHV","2023-05-18 10:10:30.332",NULL,NULL,NULL
345,"EC-LBD","2023-05-18 10:15:24.714",NULL,NULL,NULL
346,"EC-MMF","2023-05-18 10:15:25.071",NULL,NULL,NULL
347,"EC-MDO","2023-05-18 10:15:25.433",NULL,NULL,NULL
348,"EC-IKS","2023-05-18 10:15:25.785",NULL,NULL,NULL
349,"EC-ISB","2023-05-18 10:15:26.18",NULL,NULL,NULL
350,"EC-LDF","2023-05-18 10:15:26.511",NULL,NULL,NULL
351,"EC-KXU","2023-05-18 10:15:26.894",NULL,NULL,NULL
352,"EC-ISZ","2023-05-18 10:15:27.254",NULL,NULL,NULL
353,"EC-LAR","2023-05-18 10:15:27.607",NULL,NULL,NULL
354,"EC-JMK","2023-05-18 10:15:27.977",NULL,NULL,NULL
355,"EC-LGC","2023-05-18 10:15:28.32",NULL,NULL,NULL
356,"EC-LGD","2023-05-18 10:15:28.701",NULL,NULL,NULL
357,"EC-MHV","2023-05-18 10:15:29.077",NULL,NULL,NULL
358,"EC-LBD","2023-05-18 10:20:25.339",NULL,NULL,NULL
359,"EC-MMF","2023-05-18 10:20:25.71",NULL,NULL,NULL
360,"EC-MDO","2023-05-18 10:20:26.082",NULL,NULL,NULL
361,"EC-IKS","2023-05-18 10:20:26.429",NULL,NULL,NULL
362,"EC-ISB","2023-05-18 10:20:26.838",NULL,NULL,NULL
363,"EC-LDF","2023-05-18 10:20:27.256",NULL,NULL,NULL
364,"EC-KXU","2023-05-18 10:20:27.629",NULL,NULL,NULL
365,"EC-ISZ","2023-05-18 10:20:28.035",NULL,NULL,NULL
366,"EC-LAR","2023-05-18 10:20:28.422",NULL,NULL,NULL
367,"EC-JMK","2023-05-18 10:20:28.794",NULL,NULL,NULL
368,"EC-LGC","2023-05-18 10:20:29.178",NULL,NULL,NULL
369,"EC-LGD","2023-05-18 10:20:29.506",NULL,NULL,NULL
370,"EC-MHV","2023-05-18 10:20:29.89",NULL,NULL,NULL
371,"EC-LBD","2023-05-18 10:25:24.684",NULL,NULL,NULL
372,"EC-MMF","2023-05-18 10:25:25.036",NULL,NULL,NULL
373,"EC-MDO","2023-05-18 10:25:25.39",NULL,NULL,NULL
374,"EC-IKS","2023-05-18 10:25:25.76",NULL,NULL,NULL
375,"EC-ISB","2023-05-18 10:25:26.097",NULL,NULL,NULL
376,"EC-LDF","2023-05-18 10:25:26.483",NULL,NULL,NULL
377,"EC-KXU","2023-05-18 10:25:26.83",NULL,NULL,NULL
378,"EC-ISZ","2023-05-18 10:25:27.211",NULL,NULL,NULL
379,"EC-LAR","2023-05-18 10:25:27.611",NULL,NULL,NULL
380,"EC-JMK","2023-05-18 10:25:27.946",NULL,NULL,NULL
381,"EC-LGC","2023-05-18 10:25:28.278",NULL,NULL,NULL
